timestamp_s,x,y,polarity
0.397423000,174,118,-1
0.397425000,179,122,-1
0.397425000,185,122,-1
0.397426000,201,118,-1
0.397426000,186,122,-1
0.397427000,114,178,-1
0.397428000,98,155,-1
0.397428000,107,172,-1
0.397430000,208,77,1
0.397431000,98,136,-1
0.397432000,165,176,1
0.397434000,174,69,-1
0.397434000,199,69,1
0.397436000,192,122,-1
0.397436000,98,156,-1
0.397437000,197,68,1
0.397438000,157,100,-1
0.397439000,166,169,1
0.397440000,180,66,1
0.397440000,158,87,-1
0.397441000,213,88,1
0.397441000,156,94,-1
0.397444000,99,133,-1
0.397444000,169,164,1
0.397447000,97,150,-1
0.397448000,157,87,-1
0.397448000,170,162,1
0.397450000,173,152,1
0.397451000,132,109,1
0.397451000,99,159,-1
0.397457000,97,142,-1
0.397460000,100,162,-1
0.397465000,170,130,1
0.397465000,166,174,-1
0.397471000,208,76,1
0.397471000,169,118,-1
0.397473000,176,71,1
0.397475000,159,97,-1
0.397476000,155,113,1
0.397477000,165,114,-1
0.397478000,139,184,-1
0.397480000,156,95,-1
0.397481000,172,135,1
0.397482000,210,80,1
0.397483000,170,137,1
0.397485000,100,161,-1
0.397486000,194,121,-1
0.397487000,156,93,-1
0.397488000,163,113,-1
0.397491000,190,71,-1
0.397492000,212,96,-1
0.397494000,159,85,1
0.397494000,97,141,-1
0.397494000,145,183,-1
0.397495000,122,182,-1
0.397495000,130,184,-1
0.397499000,157,102,-1
0.397500000,208,74,1
0.397500000,142,108,1
0.397501000,167,78,1
0.397502000,213,89,1
0.397503000,213,98,-1
0.397503000,99,161,-1
0.397505000,177,71,-1
0.397505000,161,109,-1
0.397506000,166,116,-1
0.397506000,186,123,-1
0.397507000,211,81,1
0.397508000,117,112,1
0.397511000,211,82,1
0.397511000,184,123,-1
0.397513000,175,68,-1
0.397513000,213,101,1
0.397514000,148,182,-1
0.397515000,118,112,1
0.397517000,160,109,-1
0.397517000,202,115,-1
0.397517000,131,184,-1
0.397519000,185,69,-1
0.397519000,166,123,1
0.397520000,165,115,-1
0.397520000,165,170,1
0.397520000,120,181,-1
0.397522000,191,66,1
0.397523000,106,171,-1
0.397524000,149,110,1
0.397524000,185,123,-1
0.397524000,168,126,1
0.397524000,109,174,-1
0.397525000,119,111,1
0.397527000,146,109,1
0.397527000,113,114,1
0.397527000,178,122,-1
